Original filename,Design,Website asset,Review note
IMG-20260903-WA0009.jpeg,believe-in-myself,assets/products/believe-in-myself.jpg,Product photograph; finish mapped where visibly holographic
IMG-20260903-WA0013.jpeg,woodland-mushroom,assets/products/woodland-mushroom.jpg,Product photograph; finish mapped where visibly holographic
IMG_20260826_010009.jpg,mountain-sunrise,assets/products/mountain-sunrise.jpg,Product photograph; finish mapped where visibly holographic
IMG_20260826_010315.jpg,friends-monica-collage,assets/products/friends-monica-collage.jpg,Product photograph; finish mapped where visibly holographic
IMG_20260826_010554.jpg,friends-ross-collage,assets/products/friends-ross-collage.jpg,Product photograph; finish mapped where visibly holographic
IMG_20260826_010801.jpg,rachel-no-uterus,assets/products/rachel-no-uterus.jpg,Product photograph; finish mapped where visibly holographic
IMG_20260826_010917.jpg,chandler-bong,assets/products/chandler-bong.jpg,Product photograph; finish mapped where visibly holographic
IMG_20260826_011011.jpg,monica-seven,assets/products/monica-seven.jpg,Product photograph; finish mapped where visibly holographic
IMG_20260826_011056.jpg,phoebe-regina,assets/products/phoebe-regina.jpg,Product photograph; finish mapped where visibly holographic
IMG_20260826_011343.jpg,joey-how-you-doin,assets/products/joey-how-you-doin.jpg,Product photograph; finish mapped where visibly holographic
IMG_20260826_142116.jpg,rengoku-flame,assets/products/rengoku-flame.jpg,Product photograph; finish mapped where visibly holographic
IMG_20260826_142218.jpg,zenitsu-thunder,assets/products/zenitsu-thunder.jpg,Product photograph; finish mapped where visibly holographic
IMG_20260826_142311.jpg,shinobu-butterfly,assets/products/shinobu-butterfly.jpg,Product photograph; finish mapped where visibly holographic
IMG_20260826_142403.jpg,inosuke-boar,assets/products/inosuke-boar.jpg,Product photograph; finish mapped where visibly holographic
IMG_20260826_142533.jpg,kamado-siblings,assets/products/kamado-siblings.jpg,Product photograph; finish mapped where visibly holographic
IMG_20260826_142658.jpg,giyu-water,assets/products/giyu-water.jpg,Product photograph; finish mapped where visibly holographic
IMG_20260826_142743.jpg,tanjiro-determined,assets/products/tanjiro-determined.jpg,Product photograph; finish mapped where visibly holographic
IMG_20260826_142831.jpg,nami-daydream,assets/products/nami-daydream.jpg,Product photograph; finish mapped where visibly holographic
IMG_20260826_142930.jpg,boa-hancock,assets/products/boa-hancock.jpg,Product photograph; finish mapped where visibly holographic
IMG_20260826_143024.jpg,nezuko-chibi,assets/products/nezuko-chibi.jpg,Product photograph; finish mapped where visibly holographic
IMG_20260826_212253.jpg,tanjiro-holographic,assets/products/tanjiro-holographic.jpg,Product photograph; finish mapped where visibly holographic
IMG_20260826_212413.jpg,nezuko-holographic,assets/products/nezuko-holographic.jpg,Product photograph; finish mapped where visibly holographic
IMG_20260826_212552.jpg,shinobu-holographic,assets/products/shinobu-holographic.jpg,Product photograph; finish mapped where visibly holographic
IMG_20260826_212646.jpg,muichiro-holographic,assets/products/muichiro-holographic.jpg,Product photograph; finish mapped where visibly holographic
IMG_20260826_212745.jpg,siblings-holographic,assets/products/siblings-holographic.jpg,Product photograph; finish mapped where visibly holographic
IMG_20260826_212838.jpg,giyu-holographic,assets/products/giyu-holographic.jpg,Product photograph; finish mapped where visibly holographic
IMG_20260826_212929.jpg,rengoku-holographic,assets/products/rengoku-holographic.jpg,Product photograph; finish mapped where visibly holographic
IMG_20260826_213014.jpg,zenitsu-holographic,assets/products/zenitsu-holographic.jpg,Product photograph; finish mapped where visibly holographic
IMG_20260826_213110.jpg,inosuke-holographic,assets/products/inosuke-holographic.jpg,Product photograph; finish mapped where visibly holographic
IMG_20260826_213152.jpg,nami-holographic,assets/products/nami-holographic.jpg,Product photograph; finish mapped where visibly holographic
IMG_20260826_213232.jpg,boa-holographic,assets/products/boa-holographic.jpg,Product photograph; finish mapped where visibly holographic
IMG_20260826_213322.jpeg,kakashi-holographic,assets/products/kakashi-holographic.jpg,Product photograph; finish mapped where visibly holographic
IMG_20260826_213537.jpg,kakashi-masked,assets/products/kakashi-masked.jpg,Product photograph; finish mapped where visibly holographic
VID-20260910-WA0002.mp4,anime-collage,assets/videos/anime-collage.mp4,Video reviewed through representative frames; audio excluded from website copy
VID20260910014538.mp4,dragon-ball-transformations,assets/videos/dragon-ball-transformations.mp4,Video reviewed through representative frames; audio excluded from website copy
VID20260903202132.mp4,spiky-haired-silhouette,assets/videos/spiky-haired-silhouette.mp4,Video reviewed through representative frames; audio excluded from website copy
lv_7633383260059421973_20260907073142.mp4,EXCLUDED,,"Unrelated live-action clip with people/vehicles, not a clear product demonstration"
AI generated,acrylic-magnetic-display,assets/products/acrylic-magnetic-display-mockup.png,AI-generated product mockup labelled on website
AI generated,memoroids-display,assets/products/memoroids-display-mockup.png,AI-generated product mockup labelled on website
AI generated,shadow-box-trio,assets/products/shadow-box-trio-concept.png,AI-generated coming-soon concept labelled on website
AI generated,suncatcher-design-collection,assets/products/suncatcher-design-collection.png,AI-generated design preview labelled on website
Generated dynamic store film,the-paper-theory-dynamic-website-film,assets/videos/the-paper-theory-dynamic-website-film.mp4,30-second continuous animated website walkthrough embedded on the homepage
